证券代码,股票代码,证券名称,公司中文名称,公司英文名称,股票种类,是否上市
000409.SZ,409,云鼎科技,云鼎科技股份有限公司,"Yunding Technology Co.,Ltd.",A股,上市
000410.SZ,410,*ST沈机,沈阳机床股份有限公司,"Shenyang Machine Tool Co.,Ltd.",A股,上市
000411.SZ,411,英特集团,浙江英特集团股份有限公司,"Zhejiang Int'l Group Co.,Ltd.",A股,上市
000413.SZ,413,东旭光电,东旭光电科技股份有限公司,"Tunghsu Optoelectronic Technology Co.,Ltd.",A股,上市
000415.SZ,415,渤海租赁,渤海租赁股份有限公司,"Bohai Leasing Co.,Ltd.",A股,上市
000416.SZ,416,民生控股,民生控股股份有限公司,"Minsheng Holdings Co.,Ltd.",A股,上市
000417.SZ,417,合肥百货,合肥百货大楼集团股份有限公司,"Hefei Department Store Group Co.,Ltd.",A股,上市
000419.SZ,419,通程控股,长沙通程控股股份有限公司,"Changsha Tongcheng Holdings Co.,Ltd.",A股,上市
000420.SZ,420,吉林化纤,吉林化纤股份有限公司,"JILIN CHEMICAL FIBRE CO.,LTD",A股,上市
000421.SZ,421,南京公用,南京公用发展股份有限公司,"NanJing Public Utilities Development Co.,Ltd.",A股,上市
000422.SZ,422,湖北宜化,湖北宜化化工股份有限公司,"Hubei Yihua Chemical Industry Co.,Ltd.",A股,上市
000423.SZ,423,东阿阿胶,东阿阿胶股份有限公司,"Dong-E-E-Jiao Co., Ltd.",A股,上市
000425.SZ,425,徐工机械,徐工集团工程机械股份有限公司,"XCMG Construction Machinery Co., Ltd.",A股,上市
000426.SZ,426,兴业矿业,内蒙古兴业矿业股份有限公司,"Inner Mongolia Xingye Mining Co.,Ltd",A股,上市
000428.SZ,428,华天酒店,华天酒店集团股份有限公司,"Huatian Hotel Group Co., Ltd.",A股,上市
000429.SZ,429,粤高速A,广东省高速公路发展股份有限公司,"Guangdong Provincial Expressway Development Co.,Ltd.",A股,上市
000430.SZ,430,张家界,张家界旅游集团股份有限公司,"ZHANG JIA JIE TOURISM GROUP CO., LTD.",A股,上市
000488.SZ,488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,Shandong Chenming Paper Holdings Limited,A股,上市
000498.SZ,498,山东路桥,山东高速路桥集团股份有限公司,"Shandong Hi-Speed Road&Bridge Co.,Ltd.",A股,上市
000501.SZ,501,武商集团,武商集团股份有限公司,"WUSHANG GROUP CO., LTD.",A股,上市
000502.SZ,502,*ST绿景,绿景控股股份有限公司,"LVJING HOLDING CO., LTD",A股,上市
000503.SZ,503,国新健康,国新健康保障服务集团股份有限公司,"China Reform Health Management and Services Group Co., Ltd.",A股,上市
000504.SZ,504,南华生物,南华生物医药股份有限公司,"NanHua Bio-medicineCO.,Ltd.",A股,上市
000505.SZ,505,京粮控股,海南京粮控股股份有限公司,"Hainan Jingliang Holdings Co., Ltd.",A股,上市
000506.SZ,506,中润资源,中润资源投资股份有限公司,Zhongrun Resources Investment Corporation,A股,上市
000507.SZ,507,珠海港,珠海港股份有限公司,"Zhuhai Port Co., Ltd.",A股,上市
000509.SZ,509,*ST华塑,华塑控股股份有限公司,"Huasu Holdings Co.,Ltd",A股,上市
000510.SZ,510,新金路,四川新金路集团股份有限公司,"SICHUAN JINLU GROUP CO.,LTD",A股,上市
000513.SZ,513,丽珠集团,丽珠医药集团股份有限公司,Livzon Pharmaceutical Group Inc.,A股,上市
000514.SZ,514,渝开发,重庆渝开发股份有限公司,"CHONGQINGYUKAIFACO.,LTD.",A股,上市
